K,mu_f,ks,kf,tb,policy,population,arrivals,accepted,refused_stage1,stage2_refused,blank_pages,permanent_blanks,completed,refused_stage1_rate,blank_pages_rate_given_accepted,permanent_blank_rate_given_accepted,mean_sojourn_weighted
2,1.0,10,5,10.0,fifo,ING,12753,3582,602,1445,1445,1445,2065,0.04720457931467106,0.40340591848129537,0.40340591848129537,7.685601406039385
2,1.0,10,5,10.0,fifo,PREPA,2461,2280,181,529,529,529,1722,0.07354733848029256,0.23201754385964912,0.23201754385964912,8.037762554110602
2,1.0,10,5,10.0,priority_ing,ING,12647,3673,506,1540,1540,1540,2065,0.04000948841622519,0.41927579635175605,0.41927579635175605,6.255132443839281
2,1.0,10,5,10.0,priority_ing,PREPA,2497,2358,139,545,545,545,1787,0.05566680016019223,0.23112807463952503,0.23112807463952503,9.799412207750537
2,1.0,10,5,10.0,split_servers,ING,12654,2763,1516,787,787,787,1934,0.11980401454085665,0.2848353239232718,0.2848353239232718,6.168596711213271
2,1.0,10,5,10.0,split_servers,PREPA,2574,2055,519,385,385,385,1609,0.20163170163170163,0.1873479318734793,0.1873479318734793,18.86017210717186
2,1.0,10,5,30.0,fifo,ING,12662,2916,1203,1325,1325,1325,1591,0.09500868741115148,0.4543895747599451,0.4543895747599451,8.553022216178377
2,1.0,10,5,30.0,fifo,PREPA,2612,2339,273,384,384,384,1906,0.10451761102603369,0.16417272338606242,0.16417272338606242,7.443768452329235
2,1.0,10,5,30.0,priority_ing,ING,12704,3260,901,1706,1706,1706,1554,0.07092254408060453,0.5233128834355828,0.5233128834355828,6.786484638263257
2,1.0,10,5,30.0,priority_ing,PREPA,2622,2423,199,397,397,397,1970,0.07589626239511824,0.16384647131654972,0.16384647131654972,9.457900514530781
2,1.0,10,5,30.0,split_servers,ING,12717,2313,1824,884,884,884,1429,0.14343005425807973,0.382187635105923,0.382187635105923,7.380710791944824
2,1.0,10,5,30.0,split_servers,PREPA,2589,2049,540,339,339,339,1658,0.2085747392815759,0.16544655929721816,0.16544655929721816,16.50375955099692
2,1.0,10,5,,fifo,ING,12649,7855,4794,4432,4432,4432,3331,0.37900229267135743,0.5642266072565245,0.5642266072565245,9.981448161018328
2,1.0,10,5,,fifo,PREPA,2505,1552,953,666,666,666,867,0.38043912175648703,0.42912371134020616,0.42912371134020616,10.801979277951324
2,1.0,10,5,,priority_ing,ING,12676,7966,4710,4467,4467,4467,3450,0.3715683180814137,0.560758222445393,0.560758222445393,6.9883612276068
2,1.0,10,5,,priority_ing,PREPA,2494,1573,921,735,735,735,777,0.3692862870890136,0.4672600127145582,0.4672600127145582,24.69653395810911
2,1.0,10,5,,split_servers,ING,12562,6262,6300,2684,2684,2684,3480,0.5015124980098711,0.42861705525391247,0.42861705525391247,11.538433306211711
2,1.0,10,5,,split_servers,PREPA,2632,1324,1308,614,614,614,689,0.4969604863221885,0.4637462235649547,0.4637462235649547,10.364876342765058
2,1.0,10,30,10.0,fifo,ING,12772,3591,670,1148,1148,1148,2288,0.05245850297525838,0.31968810916179335,0.31968810916179335,29.578024363289593
2,1.0,10,30,10.0,fifo,PREPA,2491,2312,179,406,406,406,1798,0.0718586912886391,0.17560553633217993,0.17560553633217993,30.30546396992709
2,1.0,10,30,10.0,priority_ing,ING,12542,3674,445,1224,1224,1224,2325,0.035480784563865414,0.3331518780620577,0.3331518780620577,28.329225290613255
2,1.0,10,30,10.0,priority_ing,PREPA,2529,2421,108,489,489,489,1809,0.042704626334519574,0.20198265179677818,0.20198265179677818,32.010526601530785
2,1.0,10,30,10.0,split_servers,ING,12734,2721,1491,387,387,387,2223,0.11708811057012722,0.1422271223814774,0.1422271223814774,23.445120568475293
2,1.0,10,30,10.0,split_servers,PREPA,2603,2098,505,187,187,187,1797,0.1940069150979639,0.08913250714966635,0.08913250714966635,34.05018198812165
2,1.0,10,30,30.0,fifo,ING,12662,3064,977,793,793,793,2148,0.0771600063181172,0.2588120104438642,0.2588120104438642,26.395687237639986
2,1.0,10,30,30.0,fifo,PREPA,2511,2327,184,247,247,247,2005,0.07327757865392275,0.10614525139664804,0.10614525139664804,26.126260766328624
2,1.0,10,30,30.0,priority_ing,ING,12657,3250,859,926,926,926,2205,0.06786758315556608,0.28492307692307695,0.28492307692307695,24.847606839008325
2,1.0,10,30,30.0,priority_ing,PREPA,2511,2320,191,251,251,251,1973,0.0760653126244524,0.10818965517241379,0.10818965517241379,28.758816130838323
2,1.0,10,30,30.0,split_servers,ING,12708,2411,1703,216,216,216,2105,0.13401007239534152,0.08958938199917046,0.08958938199917046,21.30604473066419
2,1.0,10,30,30.0,split_servers,PREPA,2523,2021,502,83,83,83,1825,0.19896948077685295,0.04106877783275606,0.04106877783275606,28.549316492284085
2,1.0,10,30,,fifo,ING,12654,8084,4570,4575,4575,4575,3290,0.361150624308519,0.5659327065809006,0.5659327065809006,33.996317261211026
2,1.0,10,30,,fifo,PREPA,2525,1577,948,683,683,683,841,0.37544554455445545,0.4331008243500317,0.4331008243500317,35.09203269338066
2,1.0,10,30,,priority_ing,ING,12685,7963,4722,4329,4329,4329,3435,0.3722506897910918,0.5436393319100842,0.5436393319100842,30.37412246348028
2,1.0,10,30,,priority_ing,PREPA,2554,1567,987,669,669,669,813,0.3864526233359436,0.4269304403318443,0.4269304403318443,48.25236281248913
2,1.0,10,30,,split_servers,ING,12540,6274,6266,2461,2461,2461,3581,0.49968102073365234,0.39225374561683135,0.39225374561683135,34.322394308099106
2,1.0,10,30,,split_servers,PREPA,2617,1317,1300,589,589,589,682,0.4967520061138708,0.4472285497342445,0.4472285497342445,32.39193220186347
2,1.0,30,5,10.0,fifo,ING,12703,4037,143,1829,1829,1829,2125,0.011257183342517515,0.45305920237800346,0.45305920237800346,11.740237541739688
2,1.0,30,5,10.0,fifo,PREPA,2535,2490,45,703,703,703,1757,0.01775147928994083,0.2823293172690763,0.2823293172690763,12.00952074385531
2,1.0,30,5,10.0,priority_ing,ING,12698,4237,56,1973,1973,1973,2171,0.004410143329658214,0.4656596648572103,0.4656596648572103,7.1144621088461975
2,1.0,30,5,10.0,priority_ing,PREPA,2528,2511,17,689,689,689,1740,0.006724683544303798,0.2743926722421346,0.2743926722421346,18.203625826839023
2,1.0,30,5,10.0,split_servers,ING,12608,3099,1049,910,910,910,2130,0.0832011421319797,0.2936431106808648,0.2936431106808648,6.812543297427038
2,1.0,30,5,10.0,split_servers,PREPA,2590,2259,331,459,459,459,1610,0.1277992277992278,0.20318725099601595,0.20318725099601595,47.69155257233856
2,1.0,30,5,30.0,fifo,ING,12708,3979,186,2079,2079,2079,1885,0.014636449480642116,0.5224930887157577,0.5224930887157577,11.617163022059765
2,1.0,30,5,30.0,fifo,PREPA,2487,2440,47,548,548,548,1849,0.01889827100924809,0.22459016393442624,0.22459016393442624,11.055860419687114
2,1.0,30,5,30.0,priority_ing,ING,12529,3993,41,2247,2247,2247,1745,0.0032724080134088913,0.5627347858752817,0.5627347858752817,7.501482491994029
2,1.0,30,5,30.0,priority_ing,PREPA,2571,2560,11,431,431,431,2000,0.004278490859587709,0.168359375,0.168359375,14.014782791032362
2,1.0,30,5,30.0,split_servers,ING,12673,3161,972,1305,1305,1305,1850,0.07669849285883375,0.41284403669724773,0.41284403669724773,10.608689550734066
2,1.0,30,5,30.0,split_servers,PREPA,2507,2276,231,497,497,497,1600,0.09214200239329877,0.21836555360281196,0.21836555360281196,33.693349178783485
2,1.0,30,5,,fifo,ING,12719,7928,4791,4423,4423,4423,3306,0.3766805566475352,0.5578960645812311,0.5578960645812311,18.560177019318658
2,1.0,30,5,,fifo,PREPA,2530,1586,944,676,676,676,862,0.3731225296442688,0.4262295081967213,0.4262295081967213,19.468429782358953
2,1.0,30,5,,priority_ing,ING,12541,8219,4322,4717,4717,4717,3453,0.34462961486324856,0.5739141014721986,0.5739141014721986,7.241549546938864
2,1.0,30,5,,priority_ing,PREPA,2543,1700,843,721,721,721,781,0.33149823043649235,0.42411764705882354,0.42411764705882354,71.70449628762174
2,1.0,30,5,,split_servers,ING,12600,6453,6147,2712,2712,2712,3516,0.4878571428571429,0.4202696420269642,0.4202696420269642,24.192287167290484
2,1.0,30,5,,split_servers,PREPA,2451,1314,1137,586,586,586,702,0.4638922888616891,0.4459665144596651,0.4459665144596651,10.514915788423252
2,1.0,30,30,10.0,fifo,ING,12641,4186,75,1660,1660,1660,2324,0.005933074914959259,0.3965599617773531,0.3965599617773531,33.47160076745415
2,1.0,30,30,10.0,fifo,PREPA,2592,2559,33,617,617,617,1798,0.01273148148148148,0.24110980851895272,0.24110980851895272,34.21889800407539
2,1.0,30,30,10.0,priority_ing,ING,12622,4191,5,1724,1724,1724,2284,0.00039613373474885124,0.4113576712001909,0.4113576712001909,29.87196367974321
2,1.0,30,30,10.0,priority_ing,PREPA,2582,2581,1,622,622,622,1795,0.0003872966692486445,0.2409918636187524,0.2409918636187524,37.44643091550079
2,1.0,30,30,10.0,split_servers,ING,12677,3164,963,701,701,701,2353,0.07596434487654807,0.22155499367888748,0.22155499367888748,27.490055429860735
2,1.0,30,30,10.0,split_servers,PREPA,2591,2280,311,326,326,326,1715,0.12003087610961019,0.14298245614035088,0.14298245614035088,64.5763772548818
2,1.0,30,30,30.0,fifo,ING,12694,3864,223,1548,1548,1548,2176,0.01756735465574287,0.40062111801242234,0.40062111801242234,32.41512493557917
2,1.0,30,30,30.0,fifo,PREPA,2504,2443,61,450,450,450,1909,0.024361022364217253,0.18419975440032746,0.18419975440032746,31.650095854196792
2,1.0,30,30,30.0,priority_ing,ING,12704,4036,78,1779,1779,1779,2124,0.006139798488664987,0.44078295341922696,0.44078295341922696,28.14122203283696
2,1.0,30,30,30.0,priority_ing,PREPA,2468,2450,18,377,377,377,1959,0.007293354943273906,0.15387755102040818,0.15387755102040818,37.810954023923024
2,1.0,30,30,30.0,split_servers,ING,12630,3083,996,696,696,696,2292,0.07885985748218527,0.2257541355822251,0.2257541355822251,28.13517054536083
2,1.0,30,30,30.0,split_servers,PREPA,2516,2263,253,271,271,271,1750,0.10055643879173291,0.11975254087494476,0.11975254087494476,52.56700638429725
2,1.0,30,30,,fifo,ING,12522,8002,4520,4326,4326,4326,3364,0.3609647021242613,0.5406148462884279,0.5406148462884279,41.707839463591185
2,1.0,30,30,,fifo,PREPA,2607,1671,936,734,734,734,835,0.35903337169159955,0.43925792938360264,0.43925792938360264,42.65179857917654
2,1.0,30,30,,priority_ing,ING,12609,8226,4383,4520,4520,4520,3517,0.34760885082084225,0.5494772672015561,0.5494772672015561,30.35500808823125
2,1.0,30,30,,priority_ing,PREPA,2526,1647,879,657,657,657,756,0.3479809976247031,0.3989071038251366,0.3989071038251366,96.31155827808199
2,1.0,30,30,,split_servers,ING,12582,6468,6114,2609,2609,2609,3468,0.485932284215546,0.4033704390847248,0.4033704390847248,47.16111349003653
2,1.0,30,30,,split_servers,PREPA,2565,1349,1216,559,559,559,749,0.4740740740740741,0.4143810229799852,0.4143810229799852,33.49021393343251
2,2.0,10,5,10.0,fifo,ING,12637,3606,504,372,372,372,3174,0.03988288359579014,0.10316139767054909,0.10316139767054909,4.618844151212355
2,2.0,10,5,10.0,fifo,PREPA,2465,2331,134,90,90,90,2226,0.05436105476673428,0.03861003861003861,0.03861003861003861,5.148693856282286
2,2.0,10,5,10.0,priority_ing,ING,12581,3625,530,352,352,352,3201,0.04212701693029171,0.09710344827586206,0.09710344827586206,3.500762729194228
2,2.0,10,5,10.0,priority_ing,PREPA,2573,2437,136,97,97,97,2324,0.052856587640886125,0.039803036520311856,0.039803036520311856,6.697821762230961
2,2.0,10,5,10.0,split_servers,ING,12715,2834,1316,132,132,132,2652,0.10349980338183248,0.0465772759350741,0.0465772759350741,3.8210075653433604
2,2.0,10,5,10.0,split_servers,PREPA,2525,2085,440,73,73,73,1983,0.17425742574257425,0.03501199040767386,0.03501199040767386,14.173028926773107
2,2.0,10,5,30.0,fifo,ING,12562,2930,1149,468,468,468,2462,0.09146632701799076,0.1597269624573379,0.1597269624573379,5.560296451487422
2,2.0,10,5,30.0,fifo,PREPA,2556,2309,247,94,94,94,2200,0.09663536776212832,0.040710264183629274,0.040710264183629274,4.798853134324819
2,2.0,10,5,30.0,priority_ing,ING,12447,3355,690,756,756,756,2599,0.055435044589057604,0.22533532041728763,0.22533532041728763,3.919062717288613
2,2.0,10,5,30.0,priority_ing,PREPA,2554,2391,163,81,81,81,2284,0.06382145653876273,0.033877038895859475,0.033877038895859475,6.541210933884819
2,2.0,10,5,30.0,split_servers,ING,12685,2285,1893,205,205,205,2080,0.1492313756405203,0.08971553610503283,0.08971553610503283,4.896347896143212
2,2.0,10,5,30.0,split_servers,PREPA,2601,2013,588,56,56,56,1896,0.22606689734717417,0.027819175360158967,0.027819175360158967,14.15138960660997
2,2.0,10,5,,fifo,ING,12689,7899,4790,1783,1783,1783,6024,0.37749231617936796,0.22572477528801113,0.22572477528801113,6.63261486684262
2,2.0,10,5,,fifo,PREPA,2530,1613,917,262,262,262,1337,0.3624505928853755,0.1624302541847489,0.1624302541847489,7.565242694027473
2,2.0,10,5,,priority_ing,ING,12679,7858,4821,1583,1583,1583,6221,0.3802350343086994,0.2014507508271825,0.2014507508271825,3.714799491525319
2,2.0,10,5,,priority_ing,PREPA,2526,1570,956,257,257,257,1261,0.3784639746634996,0.16369426751592356,0.16369426751592356,21.44469917418228
2,2.0,10,5,,split_servers,ING,12658,6319,6339,638,638,638,5599,0.5007900142202559,0.10096534261750277,0.10096534261750277,8.090793276879909
2,2.0,10,5,,split_servers,PREPA,2501,1244,1257,129,129,129,1106,0.5025989604158336,0.10369774919614148,0.10369774919614148,6.871956542637949
2,2.0,10,30,10.0,fifo,ING,12626,3690,574,0,0,0,3614,0.045461745604308566,0.0,0.0,5.116720928970842
2,2.0,10,30,10.0,fifo,PREPA,2440,2291,149,0,0,0,2272,0.0610655737704918,0.0,0.0,5.67522611080799
2,2.0,10,30,10.0,priority_ing,ING,12686,3590,608,0,0,0,3524,0.047926848494403276,0.0,0.0,4.286300072864666
2,2.0,10,30,10.0,priority_ing,PREPA,2532,2398,134,0,0,0,2369,0.05292259083728278,0.0,0.0,7.474290513790585
2,2.0,10,30,10.0,split_servers,ING,12576,2754,1342,0,0,0,2692,0.10671119592875318,0.0,0.0,3.800670412920106
2,2.0,10,30,10.0,split_servers,PREPA,2548,2116,432,0,0,0,2080,0.1695447409733124,0.0,0.0,14.567341276600159
2,2.0,10,30,30.0,fifo,ING,12571,2965,1141,0,0,0,2965,0.09076445787924588,0.0,0.0,6.5863984242819615
2,2.0,10,30,30.0,fifo,PREPA,2473,2233,240,0,0,0,2215,0.09704811969268096,0.0,0.0,5.591112751974498
2,2.0,10,30,30.0,priority_ing,ING,12621,3333,828,0,0,0,3333,0.06560494414071785,0.0,0.0,5.896478660330449
2,2.0,10,30,30.0,priority_ing,PREPA,2507,2348,159,0,0,0,2315,0.0634224172317511,0.0,0.0,8.3961621274985
2,2.0,10,30,30.0,split_servers,ING,12572,2357,1807,0,0,0,2357,0.14373210308622336,0.0,0.0,5.5615783774789795
2,2.0,10,30,30.0,split_servers,PREPA,2533,2041,492,0,0,0,1996,0.19423608369522305,0.0,0.0,12.837464850126137
2,2.0,10,30,,fifo,ING,12533,8049,4484,889,889,889,6960,0.3577754727519349,0.11044850291961734,0.11044850291961734,15.089084760118118
2,2.0,10,30,,fifo,PREPA,2456,1582,874,109,109,109,1431,0.3558631921824104,0.06890012642225031,0.06890012642225031,15.88550004335434
2,2.0,10,30,,priority_ing,ING,12645,7847,4798,816,816,816,6855,0.3794385132463424,0.10398878552312986,0.10398878552312986,12.425837944074141
2,2.0,10,30,,priority_ing,PREPA,2567,1630,937,147,147,147,1408,0.3650175301908843,0.09018404907975461,0.09018404907975461,29.22456486010734
2,2.0,10,30,,split_servers,ING,12669,6263,6406,6,6,6,6162,0.5056436972136712,0.0009580073447229762,0.0009580073447229762,10.388443717929269
2,2.0,10,30,,split_servers,PREPA,2519,1233,1286,2,2,2,1216,0.5105200476379516,0.0016220600162206002,0.0016220600162206002,9.0595210020791
2,2.0,30,5,10.0,fifo,ING,12582,4162,43,519,519,519,3560,0.0034175806707995547,0.12469966362325804,0.12469966362325804,7.431681173875874
2,2.0,30,5,10.0,fifo,PREPA,2488,2475,13,145,145,145,2301,0.00522508038585209,0.05858585858585859,0.05858585858585859,8.262940993788009
2,2.0,30,5,10.0,priority_ing,ING,12499,4103,46,548,548,548,3482,0.0036802944235538844,0.13356080916402632,0.13356080916402632,3.998859506905895
2,2.0,30,5,10.0,priority_ing,PREPA,2517,2501,16,149,149,149,2293,0.006356773937226857,0.059576169532187126,0.059576169532187126,13.104292329393713
2,2.0,30,5,10.0,split_servers,ING,12700,3458,839,223,223,223,3197,0.06606299212598425,0.06448814343551186,0.06448814343551186,4.805432658784909
2,2.0,30,5,10.0,split_servers,PREPA,2526,2277,249,92,92,92,1989,0.09857482185273159,0.04040404040404041,0.04040404040404041,36.47491425178011
2,2.0,30,5,30.0,fifo,ING,12614,3901,203,742,742,742,3135,0.01609322974472808,0.1902076390669059,0.1902076390669059,8.925352721788629
2,2.0,30,5,30.0,fifo,PREPA,2571,2509,62,127,127,127,2310,0.024115130299494362,0.05061777600637704,0.05061777600637704,8.538461171130914
2,2.0,30,5,30.0,priority_ing,ING,12638,3995,142,1004,1004,1004,2991,0.011235955056179775,0.25131414267834795,0.25131414267834795,4.989799991988788
2,2.0,30,5,30.0,priority_ing,PREPA,2555,2530,25,77,77,77,2385,0.009784735812133072,0.030434782608695653,0.030434782608695653,14.008360644864695
2,2.0,30,5,30.0,split_servers,ING,12588,3162,850,328,328,328,2833,0.06752462662853512,0.10373181530676787,0.10373181530676787,7.487326976038352
2,2.0,30,5,30.0,split_servers,PREPA,2474,2247,227,131,131,131,1982,0.09175424413904608,0.05829995549621718,0.05829995549621718,31.745163878427807
2,2.0,30,5,,fifo,ING,12767,8130,4637,1974,1974,1974,5963,0.3632020051695778,0.24280442804428043,0.24280442804428043,14.932947726909253
2,2.0,30,5,,fifo,PREPA,2557,1654,903,265,265,265,1346,0.3531482205709816,0.16021765417170497,0.16021765417170497,15.765029566671476
2,2.0,30,5,,priority_ing,ING,12601,8102,4499,1780,1780,1780,6273,0.3570351559400048,0.2196988397926438,0.2196988397926438,3.99115603079717
2,2.0,30,5,,priority_ing,PREPA,2609,1704,905,268,268,268,1241,0.346876197776926,0.1572769953051643,0.1572769953051643,69.90352520425341
2,2.0,30,5,,split_servers,ING,12556,6449,6107,621,621,621,5601,0.48638101306148457,0.0962939990696232,0.0962939990696232,20.82004652717125
2,2.0,30,5,,split_servers,PREPA,2578,1345,1233,154,154,154,1183,0.478277734678045,0.11449814126394052,0.11449814126394052,7.442449480027308
2,2.0,30,30,10.0,fifo,ING,12697,4119,60,0,0,0,4028,0.004725525714735764,0.0,0.0,9.601982416695835
2,2.0,30,30,10.0,fifo,PREPA,2493,2479,14,0,0,0,2442,0.005615724027276374,0.0,0.0,9.882721990443088
2,2.0,30,30,10.0,priority_ing,ING,12728,4230,36,0,0,0,4147,0.0028284098051539913,0.0,0.0,5.568759366679707
2,2.0,30,30,10.0,priority_ing,PREPA,2490,2472,18,0,0,0,2412,0.007228915662650603,0.0,0.0,14.33874440990333
2,2.0,30,30,10.0,split_servers,ING,12578,3427,783,0,0,0,3389,0.06225155032596597,0.0,0.0,5.211974135603232
2,2.0,30,30,10.0,split_servers,PREPA,2544,2223,321,0,0,0,2029,0.12617924528301888,0.0,0.0,37.769068580909774
2,2.0,30,30,30.0,fifo,ING,12798,3964,237,1,1,1,3930,0.018518518518518517,0.0002522704339051463,0.0002522704339051463,10.855234462376606
2,2.0,30,30,30.0,fifo,PREPA,2472,2415,57,0,0,0,2347,0.023058252427184466,0.0,0.0,10.076049381060844
2,2.0,30,30,30.0,priority_ing,ING,12617,4033,80,2,2,2,4016,0.006340651501941824,0.0004959087527894868,0.0004959087527894868,7.607409887058156
2,2.0,30,30,30.0,priority_ing,PREPA,2498,2480,18,0,0,0,2387,0.007205764611689352,0.0,0.0,15.436766403220306
2,2.0,30,30,30.0,split_servers,ING,12609,3115,876,0,0,0,3091,0.06947418510587676,0.0,0.0,8.229286347753513
2,2.0,30,30,30.0,split_servers,PREPA,2504,2258,246,0,0,0,2119,0.09824281150159744,0.0,0.0,31.74580038834459
2,2.0,30,30,,fifo,ING,12661,7966,4695,761,761,761,6909,0.3708237895900798,0.09553100677880995,0.09553100677880995,23.424349325173196
2,2.0,30,30,,fifo,PREPA,2536,1611,925,94,94,94,1452,0.36474763406940064,0.05834885164494103,0.05834885164494103,24.095022830349297
2,2.0,30,30,,priority_ing,ING,12571,8294,4277,1121,1121,1121,7053,0.34022750775594623,0.1351579455027731,0.1351579455027731,13.816505543552056
2,2.0,30,30,,priority_ing,PREPA,2541,1663,878,148,148,148,1306,0.34553325462416373,0.08899579073962718,0.08899579073962718,80.6645742799573
