seed,policy,dam_tb,population,horizon,arrivals,accepted,refused_stage1,stage2_refused,blank_pages,permanent_blanks,completed,mean_sojourn,var_sojourn
1,fifo,,ING,800.0,2410,2207,203,882,882,882,1281,21.11107258314159,28.24457510469519
1,fifo,,PREPA,800.0,476,434,42,135,135,135,289,22.58449368196267,29.488348092884237
1,fifo,20.0,ING,800.0,2335,762,1,0,0,0,762,6.653098734246998,16.27749503627596
1,fifo,20.0,PREPA,800.0,497,497,0,0,0,0,496,6.874669786291146,21.996348701435682
1,priority_ing,,ING,800.0,2349,2195,154,862,862,862,1304,16.28639433893085,14.373023281908958
1,priority_ing,,PREPA,800.0,524,488,36,175,175,175,281,47.39833998473986,227.9652494429339
1,split_servers,,ING,800.0,2388,2102,286,728,728,728,1350,16.461729332996814,19.94218144617806
1,split_servers,,PREPA,800.0,473,416,57,134,134,134,247,54.12451003720789,488.89144564530966
2,fifo,,ING,800.0,2359,2255,104,920,920,920,1293,20.47825527224067,21.693120247968512
2,fifo,,PREPA,800.0,483,466,17,157,157,157,291,21.515294935840917,26.27957463209991
2,fifo,20.0,ING,800.0,2383,776,0,0,0,0,776,6.423600620287223,13.094719195535127
2,fifo,20.0,PREPA,800.0,473,473,0,0,0,0,471,5.935899174925344,17.38694434226966
2,priority_ing,,ING,800.0,2377,2242,135,932,932,932,1284,16.425550533419706,22.024536669884846
2,priority_ing,,PREPA,800.0,496,474,22,168,168,168,279,48.06842232347757,162.47254365515067
2,split_servers,,ING,800.0,2367,2087,280,734,734,734,1325,16.450391407244123,23.369048596968668
2,split_servers,,PREPA,800.0,499,421,78,121,121,121,273,51.56480454280618,337.99144705845947
3,fifo,,ING,800.0,2466,2340,126,1011,1011,1011,1298,20.850871654612654,21.463115220338093
3,fifo,,PREPA,800.0,471,436,35,149,149,149,280,21.964819376674505,30.081410833918035
3,fifo,20.0,ING,800.0,2474,821,1,0,0,0,821,6.7005722667735,13.737360708644216
3,fifo,20.0,PREPA,800.0,458,458,0,0,0,0,458,6.370441898990338,15.337009821431106
3,priority_ing,,ING,800.0,2469,2276,193,940,940,940,1305,16.340010371233834,18.723718398946918
3,priority_ing,,PREPA,800.0,481,442,39,147,147,147,269,49.432657648806995,168.29688441703127
3,split_servers,,ING,800.0,2414,2136,278,757,757,757,1350,16.885757175769037,17.934946112309916
3,split_servers,,PREPA,800.0,498,432,66,137,137,137,264,50.434977069543386,415.7661224461608
4,fifo,,ING,800.0,2344,2257,87,898,898,898,1316,19.95384987504658,19.312325451721495
4,fifo,,PREPA,800.0,471,444,27,141,141,141,287,20.689647961541805,20.28638529381417
4,fifo,20.0,ING,800.0,2373,772,0,0,0,0,772,6.925363749796468,14.214617122908447
4,fifo,20.0,PREPA,800.0,518,518,0,0,0,0,517,7.134135369833892,18.26623424507061
4,priority_ing,,ING,800.0,2353,2263,90,927,927,927,1308,16.26337177656512,20.762994596926568
4,priority_ing,,PREPA,800.0,485,462,23,138,138,138,293,42.65977474827114,197.92008450448103
4,split_servers,,ING,800.0,2397,2162,235,782,782,782,1349,19.43361177956196,24.65768108840223
4,split_servers,,PREPA,800.0,488,445,43,151,151,151,264,32.18303427488043,264.2133828996289
5,fifo,,ING,800.0,2367,2184,183,822,822,822,1313,20.693252294125553,24.07670990355614
5,fifo,,PREPA,800.0,495,458,37,145,145,145,303,21.885531274042084,26.251354017215935
5,fifo,20.0,ING,800.0,2385,775,0,0,0,0,770,6.364935405808173,14.675256321303074
5,fifo,20.0,PREPA,800.0,490,490,0,0,0,0,482,5.966074498787337,14.719498174534122
5,priority_ing,,ING,800.0,2417,2258,159,918,918,918,1312,16.366338508500885,15.049805249220864
5,priority_ing,,PREPA,800.0,493,450,43,165,165,165,259,52.052732091194436,206.93092672650246
5,split_servers,,ING,800.0,2430,2165,265,818,818,818,1323,17.846411560535763,14.98230599640049
5,split_servers,,PREPA,800.0,466,413,53,163,163,163,216,47.960357992070485,379.1824374502035
6,fifo,,ING,800.0,2395,2161,234,901,901,901,1212,21.67965224309019,17.996864997129855
6,fifo,,PREPA,800.0,545,490,55,163,163,163,313,22.133068192809823,24.443346805806616
6,fifo,20.0,ING,800.0,2360,769,0,0,0,0,769,5.689513927675627,13.901716468940252
6,fifo,20.0,PREPA,800.0,417,417,0,0,0,0,416,5.9471058471344,16.980780175521343
6,priority_ing,,ING,800.0,2410,2212,198,905,905,905,1284,16.54817486288324,14.337730637307079
6,priority_ing,,PREPA,800.0,496,460,36,163,163,163,269,49.29541797123504,268.87332903961527
6,split_servers,,ING,800.0,2465,2126,339,780,780,780,1316,17.273237871500008,15.139355657640632
6,split_servers,,PREPA,800.0,494,427,67,161,161,161,237,54.11239842191353,334.7260625209767
7,fifo,,ING,800.0,2408,2304,104,972,972,972,1284,19.286513419580654,30.925008125015967
7,fifo,,PREPA,800.0,472,457,15,143,143,143,306,21.090502259773054,37.49721889282827
7,fifo,20.0,ING,800.0,2469,821,0,2,2,2,819,7.1898420670154675,19.320439221845632
7,fifo,20.0,PREPA,800.0,471,471,0,0,0,0,469,6.987160410039042,20.98557207767666
7,priority_ing,,ING,800.0,2423,2219,204,858,858,858,1336,15.860512897374258,16.820813735309354
7,priority_ing,,PREPA,800.0,505,469,36,145,145,145,299,47.51512080353823,228.33002023162527
7,split_servers,,ING,800.0,2434,1970,464,637,637,637,1305,15.694471244517127,16.00397303129782
7,split_servers,,PREPA,800.0,535,448,87,123,123,123,294,59.78791637887653,332.5297021074511
8,fifo,,ING,800.0,2411,2197,214,790,790,790,1364,20.56832500613192,22.48928170300284
8,fifo,,PREPA,800.0,454,422,32,106,106,106,306,21.634464053672538,24.040710406693712
8,fifo,20.0,ING,800.0,2463,790,0,0,0,0,790,6.782426133592126,16.661387439121235
8,fifo,20.0,PREPA,800.0,503,503,0,2,2,2,497,6.808421721750216,18.528824428443112
8,priority_ing,,ING,800.0,2454,2318,136,987,987,987,1299,16.37165866050958,18.360345673793454
8,priority_ing,,PREPA,800.0,484,460,24,155,155,155,280,49.9218418780887,182.95342370089128
8,split_servers,,ING,800.0,2416,2030,386,632,632,632,1367,15.360417015901417,18.290627785732813
8,split_servers,,PREPA,800.0,499,402,97,109,109,109,267,59.72171330981895,433.0055960536356
9,fifo,,ING,800.0,2462,2261,201,914,914,914,1325,20.149551842713425,33.878440593005756
9,fifo,,PREPA,800.0,493,455,38,145,145,145,300,21.61958399649727,29.714868979783358
9,fifo,20.0,ING,800.0,2448,819,0,0,0,0,819,5.998313029913461,11.307445428146977
9,fifo,20.0,PREPA,800.0,447,447,0,0,0,0,447,5.824039344886261,14.962553691668877
9,priority_ing,,ING,800.0,2490,2411,79,1025,1025,1025,1354,15.468687814319203,19.3315269723546
9,priority_ing,,PREPA,800.0,456,447,9,132,132,132,287,38.004742000301846,167.273456980677
9,split_servers,,ING,800.0,2492,2056,436,653,653,653,1367,15.096536486201776,16.588859609312674
9,split_servers,,PREPA,800.0,507,404,103,127,127,127,254,62.63457081348058,352.1945595793084
10,fifo,,ING,800.0,2414,2245,169,886,886,886,1320,20.272339112865012,20.095787801255128
10,fifo,,PREPA,800.0,484,450,34,138,138,138,308,21.277113290169034,23.916895512458105
10,fifo,20.0,ING,800.0,2381,751,0,0,0,0,751,5.829579781708572,12.522527900264809
10,fifo,20.0,PREPA,800.0,476,476,0,0,0,0,475,5.830688620687961,15.842097195987233
10,priority_ing,,ING,800.0,2470,2352,118,996,996,996,1327,16.1466105801448,16.053609824620953
10,priority_ing,,PREPA,800.0,471,453,18,133,133,133,294,46.6616660119295,184.02521227118012
10,split_servers,,ING,800.0,2387,2046,341,721,721,721,1293,15.592717835734515,15.284029790950115
10,split_servers,,PREPA,800.0,476,416,60,112,112,112,274,60.347560609622384,235.4037684099384
11,fifo,,ING,800.0,2380,2248,132,895,895,895,1317,20.45431346149781,21.132973542889495
11,fifo,,PREPA,800.0,463,437,26,131,131,131,295,21.586847954464375,24.59222745096451
11,fifo,20.0,ING,800.0,2455,817,0,8,8,8,809,7.285108057249062,19.79553540964781
11,fifo,20.0,PREPA,800.0,468,468,0,2,2,2,458,7.190543658452146,27.519395075958293
11,priority_ing,,ING,800.0,2326,2262,64,962,962,962,1272,16.528879983776598,12.865465537031316
11,priority_ing,,PREPA,800.0,515,491,24,178,178,178,282,39.88005428748822,127.24043939454393
11,split_servers,,ING,800.0,2398,1856,542,462,462,462,1376,13.603654339589639,24.285906075275978
11,split_servers,,PREPA,800.0,466,360,106,70,70,70,259,64.8409999575951,683.1453612302016
12,fifo,,ING,800.0,2354,2180,174,892,892,892,1242,21.961711172687732,15.549748568674872
12,fifo,,PREPA,800.0,505,474,31,158,158,158,313,22.497164602410944,20.952319890558968
12,fifo,20.0,ING,800.0,2432,791,5,0,0,0,791,7.330809690587837,19.659280145070028
12,fifo,20.0,PREPA,800.0,473,471,2,0,0,0,469,7.138810023248875,32.98070394686384
12,priority_ing,,ING,800.0,2341,2181,160,827,827,827,1324,15.85300172872916,13.731800743412762
12,priority_ing,,PREPA,800.0,488,454,34,134,134,134,293,45.18339574072991,196.5727001756339
12,split_servers,,ING,800.0,2363,2206,157,851,851,851,1333,17.70090800564444,17.76312990861435
12,split_servers,,PREPA,800.0,446,423,23,142,142,142,251,44.992852734564146,269.2826559863652
13,fifo,,ING,800.0,2401,2224,177,887,887,887,1290,20.169913362863266,22.768004985715024
13,fifo,,PREPA,800.0,491,462,29,144,144,144,307,21.292070664813494,22.94062350503378
13,fifo,20.0,ING,800.0,2400,812,0,15,15,15,797,8.069956315040335,24.620766741465108
13,fifo,20.0,PREPA,800.0,528,528,0,3,3,3,522,8.032212473241124,25.03298411789896
13,priority_ing,,ING,800.0,2435,2261,174,895,895,895,1334,15.845948525128119,12.681406207209832
13,priority_ing,,PREPA,800.0,498,469,29,155,155,155,283,48.26639914813903,243.2885039722673
13,split_servers,,ING,800.0,2382,2039,343,612,612,612,1395,15.065171006935067,13.497888209748238
13,split_servers,,PREPA,800.0,482,415,67,131,131,131,264,60.02474635542177,186.8342384235579
14,fifo,,ING,800.0,2439,2224,215,890,890,890,1307,21.770297082689723,25.52782813462159
14,fifo,,PREPA,800.0,457,404,53,125,125,125,274,22.599094173956615,23.72901327901538
14,fifo,20.0,ING,800.0,2385,734,0,0,0,0,734,6.127014314101451,13.527698352230086
14,fifo,20.0,PREPA,800.0,463,463,0,0,0,0,462,6.630701373502974,17.1104731528772
14,priority_ing,,ING,800.0,2418,2256,162,922,922,922,1300,16.329484632835825,18.820654749335176
14,priority_ing,,PREPA,800.0,442,412,30,139,139,139,263,53.058035843910126,233.05010352129108
14,split_servers,,ING,800.0,2362,2232,130,831,831,831,1363,18.311351949283555,19.451051297328245
14,split_servers,,PREPA,800.0,457,429,28,157,157,157,252,39.488548963289446,173.3470442142563
15,fifo,,ING,800.0,2398,2265,133,995,995,995,1224,21.221831990631472,29.308589162396252
15,fifo,,PREPA,800.0,464,424,40,144,144,144,269,22.03223851216076,37.653268215062965
15,fifo,20.0,ING,800.0,2293,779,0,1,1,1,778,7.36371611537618,18.907045569532805
15,fifo,20.0,PREPA,800.0,481,481,0,0,0,0,479,7.169018589588253,26.296863330845557
15,priority_ing,,ING,800.0,2308,2146,162,853,853,853,1260,16.41868801298462,16.108224044611664
15,priority_ing,,PREPA,800.0,509,481,28,160,160,160,297,46.62167027710272,190.7097433514559
15,split_servers,,ING,800.0,2334,2113,221,755,755,755,1321,16.33225917717628,21.187134316934046
15,split_servers,,PREPA,800.0,481,437,44,155,155,155,258,47.8617524628178,394.54056823965544
16,fifo,,ING,800.0,2352,2133,219,807,807,807,1284,20.32664536609589,30.372860043572487
16,fifo,,PREPA,800.0,482,436,46,106,106,106,312,21.309093233679107,33.19484294733455
16,fifo,20.0,ING,800.0,2315,778,0,0,0,0,778,6.886894996422691,12.666604261428954
16,fifo,20.0,PREPA,800.0,442,442,0,0,0,0,441,6.8981836219491415,19.238677342760795
16,priority_ing,,ING,800.0,2280,2150,130,846,846,846,1275,16.49593187445273,16.022719369582074
16,priority_ing,,PREPA,800.0,511,481,30,180,180,180,281,42.82094381235381,240.72444816085022
16,split_servers,,ING,800.0,2314,2031,283,618,618,618,1382,15.335295909217384,30.409583752865203
16,split_servers,,PREPA,800.0,464,406,58,112,112,112,265,46.142429658253775,346.8016431613736
17,fifo,,ING,800.0,2355,2207,148,828,828,828,1342,19.440958116566556,21.31059105723191
17,fifo,,PREPA,800.0,493,461,32,133,133,133,318,20.579444807491097,25.17930549069419
17,fifo,20.0,ING,800.0,2434,777,0,0,0,0,777,6.250403959040242,12.94592861266313
17,fifo,20.0,PREPA,800.0,462,462,0,0,0,0,462,6.499002503019137,16.867368520697205
17,priority_ing,,ING,800.0,2477,2345,132,927,927,927,1385,15.897185019319886,14.249415962846154
17,priority_ing,,PREPA,800.0,448,426,22,157,157,157,251,50.10665972601981,193.78048108703572
17,split_servers,,ING,800.0,2404,2028,376,650,650,650,1345,15.397472212518771,13.475337922528293
17,split_servers,,PREPA,800.0,495,420,75,124,124,124,269,63.551734252372825,293.31989692542027
18,fifo,,ING,800.0,2392,2204,188,851,851,851,1327,20.60067799900101,19.347470767120925
18,fifo,,PREPA,800.0,503,450,53,133,133,133,311,21.833602289476243,23.0508553206724
18,fifo,20.0,ING,800.0,2408,799,0,2,2,2,797,6.973554191302002,18.802227147854552
18,fifo,20.0,PREPA,800.0,467,467,0,1,1,1,466,6.715942409627213,19.803583564182986
18,priority_ing,,ING,800.0,2423,2250,173,958,958,958,1263,16.425325706675338,17.888067555414406
18,priority_ing,,PREPA,800.0,508,466,42,145,145,145,303,48.19382276149894,207.7811511543388
18,split_servers,,ING,800.0,2369,1984,385,598,598,598,1360,15.129758181574976,17.70564560343863
18,split_servers,,PREPA,800.0,499,428,71,115,115,115,282,57.32977489780972,408.8896813548191
19,fifo,,ING,800.0,2376,2263,113,930,930,930,1294,20.22975120548567,26.776267413777287
19,fifo,,PREPA,800.0,488,469,19,145,145,145,315,20.36801037364968,30.115828396412432
19,fifo,20.0,ING,800.0,2379,790,1,0,0,0,790,6.147802489361654,15.716543558840055
19,fifo,20.0,PREPA,800.0,531,530,1,0,0,0,527,6.469892335706851,18.10757989967318
19,priority_ing,,ING,800.0,2463,2310,153,986,986,986,1300,16.36546211166265,16.233291273553235
19,priority_ing,,PREPA,800.0,489,461,28,144,144,144,282,47.17690243762363,283.4894764173623
19,split_servers,,ING,800.0,2440,2097,343,759,759,759,1313,17.101446393653415,18.41944476921989
19,split_servers,,PREPA,800.0,496,432,64,139,139,139,264,52.42012587509292,450.67897071528074
20,fifo,,ING,800.0,2397,2235,162,916,916,916,1271,21.183545907129687,23.584899869948952
20,fifo,,PREPA,800.0,481,442,39,141,141,141,289,22.547377322433388,27.161486721602667
20,fifo,20.0,ING,800.0,2348,736,0,0,0,0,736,6.414504145330919,14.164706993104607
20,fifo,20.0,PREPA,800.0,470,470,0,0,0,0,469,6.463115035504468,17.897845239386832
20,priority_ing,,ING,800.0,2425,2258,167,945,945,945,1283,16.86937499088016,14.183965185896035
20,priority_ing,,PREPA,800.0,480,435,45,155,155,155,255,51.61360741840526,226.1751823731238
20,split_servers,,ING,800.0,2374,2068,306,701,701,701,1339,15.806684609958396,21.904105785714798
20,split_servers,,PREPA,800.0,467,413,54,127,127,127,253,57.61264011970751,329.87154693309196
