ks,kf,backup_strategy,backup_p,arrivals,accepted,refused_stage1,stage2_refused,blank_pages,permanent_blanks,completed,refused_stage1_rate,blank_pages_rate_given_accepted,permanent_blank_rate_given_accepted,mean_sojourn_weighted,s1_util,s2_util,s1_system_timeavg,s1_queue_timeavg,s2_system_timeavg,s2_queue_timeavg,backups_written,cost_per_arrival
0,0,none,0.0,26201,8635,17566,5231,5231,5231,3372,0.6704324262432731,0.605790387955993,0.605790387955993,2.173496906357913,0.8064821484029914,0.6501363587455611,1.4254010857520252,-0.13827442445586932,0.5691728193294521,-0.12725482229867116,0.0,2.9401648240856155
0,0,random,0.5,26204,8679,17525,5256,5256,2614,3389,0.6687910242711036,0.6055997234704459,0.30118677266966243,2.170738250178354,0.8042742023433261,0.6537883385028646,1.42672052850156,-0.1425445023441784,0.5698315293885282,-0.12141612950890576,286.6666666666667,2.587543681878751
0,0,systematic,1.0,26201,8635,17566,5231,5231,0,3372,0.6704324262432731,0.605790387955993,0.0,2.173496906357913,0.8064821484029914,0.6501363587455611,1.4254010857520252,-0.13827442445586932,0.5691728193294521,-0.12725482229867116,574.2666666666667,2.2403412050901976
0,2,none,0.0,26190,8537,17653,3677,3677,3677,4811,0.6740358915616648,0.4307133653508258,0.4307133653508258,3.4876810555005573,0.8052826840821752,0.9138725018426312,1.4403590044476262,-0.15176797332671257,2.015650417261242,1.0780179020360052,0.0,2.651399101287338
0,2,random,0.5,26273,8587,17686,3762,3762,1895,4770,0.6731625623263426,0.43810411086526146,0.22068242692442064,3.53146338830469,0.8082852503564852,0.9165535192403027,1.4160839105633174,-0.1558567443035982,2.0480267552299996,1.1007632761327528,283.8,2.4261689548956458
0,2,systematic,1.0,26190,8537,17653,3677,3677,0,4811,0.6740358915616648,0.4307133653508258,0.0,3.4876810555005573,0.8052826840821752,0.9138725018426312,1.4403590044476262,-0.15176797332671257,2.015650417261242,1.0780179020360052,567.2666666666667,2.1873929545515
0,5,none,0.0,26258,8481,17777,3186,3186,3186,5199,0.6770127199329729,0.37566324725857797,0.37566324725857797,5.801267099625891,0.8130536885660412,0.978830845855839,1.4275883759759787,-0.14345335567400658,4.565057919322161,3.5372985454914745,0.0,2.5606788348684613
0,5,random,0.5,26257,8471,17786,3222,3222,1569,5156,0.6773812697566364,0.3803565104474088,0.1852201629087475,5.9243000016722345,0.8061441854763778,0.978091808526712,1.432828404750871,-0.15121160749936474,4.625828643462986,3.6149620170592343,284.26666666666665,2.3651023464258008
0,5,systematic,1.0,26258,8481,17777,3186,3186,0,5199,0.6770127199329729,0.37566324725857797,0.0,5.801267099625891,0.8130536885660412,0.978830845855839,1.4275883759759787,-0.14345335567400658,4.565057919322161,3.5372985454914745,563.7333333333333,2.1719117094326092
5,0,none,0.0,26229,10569,15660,6977,6977,6977,3493,0.5970490678256891,0.6601381398429369,0.6601381398429369,4.450056614026032,0.994987906652116,0.6653615114888571,6.150855426620667,4.130581968830146,0.5875002231160443,-0.11916740349876997,0.0,3.125292846924505
5,0,random,0.5,26256,10537,15719,6957,6957,3443,3476,0.5986822059719683,0.6602448514757521,0.3267533453544652,4.470200579374069,0.9943930896664911,0.6559788553758827,6.115061728992924,4.089597240449852,0.5772164060738608,-0.11287303661850315,352.26666666666665,2.6475334766966245
5,0,systematic,1.0,26229,10569,15660,6977,6977,0,3493,0.5970490678256891,0.6601381398429369,0.0,4.450056614026032,0.994987906652116,0.6653615114888571,6.150855426620667,4.130581968830146,0.5875002231160443,-0.11916740349876997,698.6666666666666,2.1805787566261254
5,2,none,0.0,26375,10512,15863,5551,5551,5551,4838,0.6014407582938389,0.5280631659056316,0.5280631659056316,6.012738226472728,0.9953939645833548,0.9293166963128382,6.138735845555133,4.120123256718843,2.1417163541717863,1.1895591115517945,0.0,2.8532271138980616
5,2,random,0.5,26470,10543,15927,5632,5632,2787,4781,0.6017000377786172,0.5341933036137722,0.26434601157165893,6.037750455123084,0.9957816811117846,0.9358112465828625,6.144329084156445,4.13750776115038,2.1536679586487484,1.2065666195578877,349.8,2.4918744522504457
5,2,systematic,1.0,26375,10512,15863,5551,5551,0,4838,0.6014407582938389,0.5280631659056316,0.0,6.012738226472728,0.9953939645833548,0.9293166963128382,6.138735845555133,4.120123256718843,2.1417163541717863,1.1895591115517945,694.9333333333333,2.1291324504992217
5,5,none,0.0,26156,10672,15484,5314,5314,5314,5198,0.591986542284753,0.4979385307346327,0.4979385307346327,8.541357226386362,0.9946628033752326,0.9893347591924416,6.119349796710773,4.110149096184958,4.933948405567733,3.8993693092226476,0.0,2.802096793600768
5,5,random,0.5,26210,10741,15469,5501,5501,2767,5060,0.5901945822205266,0.5121497067312168,0.25761102318219903,8.708777241026784,0.9946481219916944,0.9839917000332645,6.135878207885986,4.111696817974579,4.912797943789184,3.8922509506552205,357.3333333333333,2.475291750988305
5,5,systematic,1.0,26156,10672,15484,5314,5314,0,5198,0.591986542284753,0.4979385307346327,0.0,8.541357226386362,0.9946628033752326,0.9893347591924416,6.119349796710773,4.110149096184958,4.933948405567733,3.8993693092226476,705.6666666666666,2.1106921438930804
20,0,none,0.0,26208,10894,15314,7094,7094,7094,3471,0.5843253968253969,0.6511841380576464,0.6511841380576464,11.62808222998916,0.9960461076420645,0.6696957971609617,20.921764969623773,18.662117855411573,0.5864488932801258,-0.12663057249548137,0.0,3.1234591417472313
20,0,random,0.5,26375,10674,15701,6866,6866,3405,3481,0.5952985781990522,0.6432452688776467,0.3189994378864531,11.780436249485573,0.9963290714617892,0.6561163762941703,20.942792582509703,18.711143655589474,0.5830404921215284,-0.11275519137363443,345.06666666666666,2.6237180611440185
20,0,systematic,1.0,26208,10894,15314,7094,7094,0,3471,0.5843253968253969,0.6511841380576464,0.0,11.62808222998916,0.9960461076420645,0.6696957971609617,20.921764969623773,18.662117855411573,0.5864488932801258,-0.12663057249548137,704.9333333333333,2.161488537146612
20,2,none,0.0,26392,10709,15683,5489,5489,5489,4864,0.5942331009396787,0.5125595293678215,0.5125595293678215,13.33108891295387,0.9960189048015965,0.9298247149500359,20.972426870863156,18.730457000776983,2.141479270336649,1.1937370810512133,0.0,2.8258719548761992
20,2,random,0.5,26215,10840,15375,5550,5550,2748,4937,0.5864962807552928,0.5119926199261993,0.25350553505535056,13.093075024322538,0.9970973676220258,0.9289409459682527,20.953152280879642,18.67695192831098,2.137734229647331,1.1890221841371704,347.73333333333335,2.4647316055916204
20,2,systematic,1.0,26392,10709,15683,5489,5489,0,4864,0.5942331009396787,0.5125595293678215,0.0,13.33108891295387,0.9960189048015965,0.9298247149500359,20.972426870863156,18.730457000776983,2.141479270336649,1.1937370810512133,692.5333333333333,2.1113049843501583
20,5,none,0.0,26208,10867,15341,5294,5294,5294,5181,0.5853556166056166,0.4871629704610288,0.4871629704610288,15.735729346256676,0.9963962168456765,0.9864487856998563,20.937357644326493,18.698175113589333,4.923028109450878,3.88508879589513,0.0,2.7824967427579117
20,5,random,0.5,26136,10857,15279,5282,5282,2639,5177,0.5845959595959596,0.48650640140001844,0.24306898774983882,15.793210142639923,0.9957976997197113,0.9855598405229299,20.937391631164292,18.66697992328457,4.899396580389859,3.8930577153925037,354.46666666666664,2.4386660115289533
20,5,systematic,1.0,26208,10867,15341,5294,5294,0,5181,0.5853556166056166,0.4871629704610288,0.0,15.735729346256676,0.9963962168456765,0.9864487856998563,20.937357644326493,18.698175113589333,4.923028109450878,3.88508879589513,703.4666666666667,2.09453916286662
